ex-idx,doc-url,doc-url-hash,model-name,output,INT,INT & AIS,Flagged,Q1,Q2,# agree (INT),# agree (AIS)
4040865927434983757,NA,NA,T5-small,"On November 8, Saints defeated Carolina Panthers by 30–20 and 8–0.",0,0,0,"No, the sentence is unclear.",-,4,-1
7324975606644828203,NA,NA,T5-small,The Philadelphia Union of Major League Soccer was founded in 2010 in Chester.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
2748578602822861798,NA,NA,T5-small,Merkin Concert Hall is a concert hall in New York.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",10,10
2202226404759730369,NA,NA,T5-small,Ross Dunkerton won the 1976 Australian Rally Championship with a Datsun 240Z driven by navigator Jeff Beaumont.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-1949182479317124182,NA,NA,T5-small,"The JPEG standard T.81 was released on September 18, 1992.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
3077722423350184386,NA,NA,T5-small,"As of the census of 2000, there were 772 people residing in Matherville.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
3933408639219772432,NA,NA,T5-small,Colin Cowdrey scored 148.,0,0,0,"No, the sentence is unclear.",-,5,-1
-5499833665167390965,NA,NA,T5-small,"Murray played against the United States in the first round of Davis Cup, where he played against Donald Young and Sam Querrey.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",3,3
-6952733089602331993,NA,NA,T5-small,The 1945 French constitutional referendum in Ivory Coast was approved by 74.9% of voters.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-2874326153575364594,NA,NA,T5-small,"St. John's had a population of 108,860 and a population of 445.88 in 2016.",0,0,0,"No, the sentence is unclear.",-,10,-1
-5406359544562629205,NA,NA,T5-small,"In 1999, Anthony Michael Hall played Bill Gates in the TV film Pirates of Silicon Valley.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
5529309181827646278,NA,NA,T5-small,Gilbert Patten is one of the best-selling fiction authors.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
3288402899572812776,NA,NA,T5-small,"Kerron Clement's personal best in the 400 meters hurdles is 47.24 seconds, achieved in 2005 in Carson, California.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
7834558609952983800,NA,NA,T5-small,"In 2013, Plummer played Chloe Martin in Wizards vs Aliens.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-7767754300635134247,NA,NA,T5-small,England scored 293.,0,0,0,"No, the sentence is unclear.",-,5,-1
3338731164502347310,NA,NA,T5-small,"In 1977, Hill played Grizelda Brown in Desperate Living.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
6265988088151724631,NA,NA,T5-small,"In 2007, Castellacci joined the British Formula 3 Championship with Alan Docking Racing.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
905769051317162413,NA,NA,T5-small,Ahmed Adam finished the 50 metre freestyle in 30.12 seconds.,0,0,0,"No, the sentence is unclear.",-,3,-1
5483630237847880751,NA,NA,T5-small,"In 1998, Repertoire of Plácido Domingo performed as Antonio in the opera Luna (es) by Cano at Palau de la M ⁇ sica de València.",0,0,1,NA ( Flagged),NA ( Flagged),-1,-1
-309620206072322292,NA,NA,T5-small,"Marcus Thigpen's personal bests are 6.77 seconds in the 60 meters, 10.34 seconds in the 100 meters and 21.27 seconds in the 200 meters.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-120605117290390906,NA,NA,T5-small,Ananda Chandra Barua was awarded the Padma Shri in 1970.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-8184702654881883568,NA,NA,T5-small,"Palermo won against Catania by 3–1, with goals from Miccoli, Donati, Donati and Ili ⁇ i ⁇ .",0,0,1,NA ( Flagged),NA ( Flagged),-1,-1
696801679586864728,NA,NA,T5-small,"As of the census of 2000, there were 3,055 people residing in Manila.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
8160979924930304555,NA,NA,T5-small,The Democratic Party of Equatorial Guinea won 99.2% of the vote and 60 seats.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-8621238785417668541,NA,NA,T5-small,"In 2003, Victoria Smurfit played as Nina in Bulletproof Monk.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
8959761350858768449,NA,NA,T5-small,"The Australian Army during World War II killed 1,795 people and killed 121,800.",0,0,0,"No, the sentence is unclear.",-,10,-1
5473493867599712066,NA,NA,T5-small,Zachery Ty Bryan played Eric Marsh in the 2003 film Smallville.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
445468913005171314,NA,NA,T5-small,"On 7 January 2017, Dominic Gape joined Southampton for a free transfer.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-3485865330884828818,NA,NA,T5-small,"MFC 37 - True Grit was an event held on May 10, 2013 at the Mayfield Inn Trade and Conference Centre in Edmonton, Alberta, Canada.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-1322069834994468116,NA,NA,T5-small,Albert I (1255 – 1 May 1308) was the Duke of Austria from 1278 until his death.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
-6788469614560677551,NA,NA,T5-small,"Carl Axel Harstrom was a Republican mayor of Norwalk, Connecticut from 1915 to 1917.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-937026118751434377,NA,NA,T5-small,The 1963 Republic of the Congo constitutional referendum was approved by 91.7% of voters.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-9217151866446182155,NA,NA,T5-small,"In 1988, Lindo played Herald Loomis in Joe Turner's Come and Gone, for which he was nominated for a Tony Award for Best Actor in a Play.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-2303586623809324755,NA,NA,T5-small,"In 2019, Murray starred in Riverdale as Edgar Evernever.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1782659048769355775,NA,NA,T5-small,Mahendra Ratwatte was the Mayor of Kandy from 2011 to 2015.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
2056782628858124313,NA,NA,T5-small,Shahjalal University of Science and Technology is a Bangladesh public university.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
7370395976603479056,NA,NA,T5-small,"On 5 June 2011, Ruben scored his first goal in a 2–1 friendly win over Poland.",0,0,0,"No, the sentence is unclear.",-,3,-1
-3936146249062832601,NA,NA,T5-small,"Rings Holland: The Final Challenge was an event held on February 2, 1997 at Sport Hall Zuid in Amsterdam, North Holland, Netherlands.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
5164217791495094357,NA,NA,T5-small,"Shooto: Gig Central 15 was an event held on August 3, 2008 at Zepp Nagoya in Nagoya, Aichi, Japan.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
7750973509544115768,NA,NA,T5-small,"Hodgson played 40 games in the NHL, scoring 43 goals and 8 assists for 114 points, while playing for the Vancouver Canucks.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
6450636969437607558,NA,NA,T5-small,The average high temperature in January is 55.9 °F (13.3 °C) and the average low is 42.9 °F (6.1 °C).,1,1,0,"Yes, I understand it.","Yes, fully attributable.",4,4
-5608024259878491634,NA,NA,T5-small,Steven Del Duca of Liberal party was a member of the 40th Parliament of Ontario.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
4391163706382975826,NA,NA,T5-small,"José Alessandro Bagio won the 20,000m track walk at the 2008 Ibero-American Championships in Iquique, Chile, with a time of 1:23:12.60.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
7106952498030078809,NA,NA,T5-small,Bryan won with 47.08% of the vote in the 1896 United States presidential election in Ohio.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,3
9027572853948445241,NA,NA,T5-small,Cauffiel played Amy Clayton in the Hallmark Channel's 2009 film Ice Dreams.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
7999892950846379231,NA,NA,T5-small,"John Rose resigned on November 28, 1867, in Huntingdon.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,3
7786868756507429242,NA,NA,T5-small,"In 2018, Richard drove a Honda Civic Type R TCR for KCMG.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
5861003363218602514,NA,NA,T5-small,"In the final, Roger Kingdom finished in 13.20.",0,0,0,"No, the sentence is unclear.",-,5,-1
5266620657802887449,NA,NA,T5-small,"In 2012, Miller worked with XLrator Media for Under the Bed.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-8408666353181403390,NA,NA,T5-small,Stewart averaged 19.9 points per game in 2017.,0,0,0,"No, the sentence is unclear.",-,4,-1
-4083632934450154668,NA,NA,T5-small,"In 1999, Smith had 1,636 yards and six touchdowns.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
8491745306257678773,NA,NA,T5-small,Jackie Moreland averaged 21.3 points per game.,0,0,0,"No, the sentence is unclear.",-,5,-1
4948284214115120176,NA,NA,T5-small,"Welsh defeated Wallace by 376,023 votes to 172,646.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",4,4
-5685326820959037595,NA,NA,T5-small,"In 1981, Horizon Air was a route from Pasco to Seattle, Washington and Yakima.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,3
179509783762267593,NA,NA,T5-small,Ralph J. Bunche House is a Los Angeles Historic-Cultural Monument (No. 159) and was awarded the Nobel Peace Prize in his youth.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
-4643720190593373599,NA,NA,T5-small,Fly Blue Crane has two Embraer ERJ 145 aircraft.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
