ex-idx ,doc-url,doc-url-hash,model-name,output,INT,INT & AIS,Flagged,Q1,Q2,# agree (INT),# agree (AIS)
150:1,NA,NA,wow-controlled_t5,"cooking techniques and ingredients vary widely across the world, from grilling food over an open fire to using electric stoves, to baking in various types of ovens, reflecting unique environmental, economic, and cultural traditions and trends.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
43:1,NA,NA,wow-dodeca,swimming is the self-propulsion of a person through fresh or salt water,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
635:1,NA,NA,wow-dodeca,"swimming is the self-propulsion of a person through fresh or salt water, usually for recreation, sport, exercise, or survival.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
351:4,NA,NA,wow-t5,"i'm not sure, but there are a lot of domesticated horses, but some feral ones are wild.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,3
118:6,NA,NA,wow-t5,"i'm not sure, but i know that the family includes the extinct megalania, the komodo dragon, and the crocodile monitor.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
841:7,NA,NA,wow-controlled_t5,it is an interdisciplinary science that applies the approaches and methods of physics to study biological systems.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
200:5,NA,NA,wow-dinan_et_al,rafael nadal is the most powerful tennis player.,0,0,1,,,-1,-1
289:7,NA,NA,wow-controlled_t5,mcdonald's is the world's largest restaurant chain by revenue. they serve over 69 million customers daily.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
764:6,NA,NA,wow-t5,i believe it is. sprinters typically reach top speed after around 50-60 m. they then slow towards the finish line.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
381:6,NA,NA,wow-t5,"i think it's because it is used in many mediterranean, balkan, and middle eastern cuisines.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",3,2
511:5,NA,NA,wow-reference,"well you'll have to make a fire or bring some sort of non-electric cooking element, unless you're a survavilist camper, they don't use such tools.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
524:7,NA,NA,wow-dodeca,cognitive behavioral therapy is the most widely used practice for improving mental health.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
961:3,NA,NA,wow-reference,"yes, that is where i catch them. i study aquaculture and know where most fishes would be. freshwater and saltwater controlled conditions.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,3
776:1,NA,NA,wow-dodeca,"yes, i have. they are a medium to large-sized working dog.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
597:1,NA,NA,wow-t5,"yes, it is a factor that is determinant of the number of children that an individual is likely to have.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
868:4,NA,NA,wow-reference,"yes, they spray a liquid with a strong unpleasant smell",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,3
946:5,NA,NA,wow-reference,no idea! i'm trying to think on that one but can't recall that info. i know that more than half europeans claim to speak more than heir mother tongue. i can only speak one as well. unless you count the sound i make stepping on legos!,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
677:7,NA,NA,wow-dodeca,the capital of puerto rico is san juan,1,0,0,"Yes, I understand it.","No, not fully attributable.",3,3
960:7,NA,NA,wow-controlled_t5,"yes, pho is a popular street food in vietnam and the specialty of a number of restaurant chains around the world",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
821:7,NA,NA,wow-controlled_t5,bon iver is an american indie folk band.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
522:8,NA,NA,wow-controlled_t5,there are some baked pasta dishes from apulia that combine pasta and meat.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
336:5,NA,NA,wow-reference,i can't recall his name but communists played critical roles in early struggles with unions.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
872:4,NA,NA,wow-controlled_t5,"yes, they are rooted in nearly all human cultures from prehistoric times, but scientific study began only as recently as the 16th century.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
433:5,NA,NA,wow-controlled_t5,"well, singing requires time, dedication, instruction and regular practice!",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
119:1,NA,NA,wow-dinan_et_al,that's awesome! did you go to campers or campers?,1,0,0,"Yes, I understand it.","No, not fully attributable.",3,3
599:2,NA,NA,wow-controlled_t5,"they are known for their unique and eclectic style. they fuse elements of rock, psychedelia, experimental music, modal jazz, country, folk, bluegrass, blues, reggae, and space rock, for live performances of lengthy instrumental jams, and for their devoted fan base, known as ""deadheads"".",1,1,0,"Yes, I understand it.","Yes, fully attributable.",4,4
629:6,NA,NA,wow-t5,"it is prepared from several different cuts of meat, usually from the pork belly or back cuts.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
474:6,NA,NA,wow-reference,yup that is the one! most track and field events are individual sports with a single victor,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,4
17:4,NA,NA,wow-controlled_t5,they can range in length including their tail.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
825:4,NA,NA,wow-dodeca,"i'm not sure, but i do know that the central norms of classical music were codified between 1550 and 1900.",1,0,0,"Yes, I understand it.","No, not fully attributable.",4,3
953:4,NA,NA,wow-dodeca,it depends on what type of bird you want to watch. birds live worldwide and range in size from the bee hummingbird to the ostrich.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,3
434:5,NA,NA,wow-reference,"he sold over 100 million records worldwide across many albums, including his 1979 album ""prince""",1,0,0,"Yes, I understand it.","No, not fully attributable.",3,3
724:3,NA,NA,wow-dinan_et_al,"no, i don't, but i've had a bone before.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
195:7,NA,NA,wow-reference,"not in a band but he did make music himself! he was known for jazz and popular music, he's considered the pioneer of the solid-body electric guitar.",1,0,0,"Yes, I understand it.",,2,0
599:2,NA,NA,wow-reference,the grateful dead was a rock band with a very eclectic style. what type of music do you enjoy?,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,4
796:2,NA,NA,wow-dodeca,"titanic is a 1997 epic romance disaster film directed, written, co-produced and co-edited by james cameron",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
432:5,NA,NA,wow-dodeca,"yes, they are classified as cyanococcus within the genus ""vaccinium.""",1,1,0,"Yes, I understand it.","Yes, fully attributable.",3,2
806:1,NA,NA,wow-reference,"i really do, i did not realize that they have a history of about the last 2000 years, beginning in greece and rome.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,3
67:3,NA,NA,wow-dinan_et_al,the new york times puzzle is a newspaper based in new york times.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",4,3
303:6,NA,NA,wow-dodeca,"it is made with san marzano tomatoes, which grow on the volcanic plains to the south of mount vesuvius, and mozzarella di bufala campana, a protected designation of origin cheese made with the milk from water buffalo raised in the marshlands of campania and lazio in a semi-wild state.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",2,2
401:2,NA,NA,wow-dinan_et_al,a aquarium is a collection of aquatic animals that are kept in a residential aquarium.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,3
744:4,NA,NA,wow-dinan_et_al,"i'm not sure, but i do know that he was a sequel to the hobbit.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,4
243:9,NA,NA,wow-dodeca,many species have the ability to change color.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
169:1,NA,NA,wow-dodeca,gone with the wind is a 1939 american epic historical romance film,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
268:7,NA,NA,wow-dinan_et_al,"i'm not sure, but i do know that it can be used as a recreational activity.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
877:4,NA,NA,wow-reference,"well, dallas is one of the fastest growing population centers in the entire usa",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,4
945:3,NA,NA,wow-controlled_t5,the transformers toyline was created from toy molds mostly produced by japanese company takara in the toylines diaclone and microman.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
650:2,NA,NA,wow-dinan_et_al,"i'm not sure, but i know they were built in mexico.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",4,2
363:6,NA,NA,wow-controlled_t5,electric guitars are a guitar that uses one or more pickups to convert the vibration of its strings into electrical signals.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
777:7,NA,NA,wow-dinan_et_al,"well, in the united states, camping is a great way to train and support events.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
400:1,NA,NA,wow-t5,"i am not a single parent, but i know there are a lot of issues like custody, child support, domestic violence, child abuse, maintenance, the reintroduction of fault into divorce proceedings.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,4
401:2,NA,NA,wow-dodeca,"an aquarium (plural: ""aquariums"" or ""aquaria"") is a vivarium of any size having at least one transparent side in which aquatic plants or animals are kept and displayed",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
99:1,NA,NA,wow-reference,"i do love tuesday, i really love the history of the name being derived from the old english ""tiwesdg""",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,3
701:3,NA,NA,wow-controlled_t5,the shawshank redemption is a 1994 american drama film written and directed by frank darabont,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
6:5,NA,NA,wow-reference,"i don't know the exact amount but i do know that the company is a regional division of the world's third-largest brewing company, the molson coors brewing company.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,3
686:5,NA,NA,wow-dinan_et_al,ford mustang has undergone several transformations to its sixth generation.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,4
336:7,NA,NA,wow-controlled_t5,"yes it is. communism is a philosophical, social, political and economic ideology and movement whose ultimate goal is the establishment of the communist society.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,3
948:2,NA,NA,wow-reference,"it is used to build user interfaces, so it helps us to communicate with each other.",1,0,0,"Yes, I understand it.","No, not fully attributable.",4,4
478:8,NA,NA,wow-t5,"she was born in california, and since the 1980s she has been known as the queen of pop.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
557:2,NA,NA,wow-reference,an over-the counter headache pain reliever!,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
903:7,NA,NA,wow-t5,"well a veterinary physician is a professional who practices veterinary medicine by treating diseases, disorders, and injuries in animals.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
260:1,NA,NA,wow-dodeca,"i don't know much about them, but i know they were launched in 2004 by honda.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
713:3,NA,NA,wow-reference,"there actually aren't any records of their exact origins or date of introduction into the united states, so it's hard to say.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
114:2,NA,NA,wow-controlled_t5,fashion design is the art of application of design and aesthetics or natural beauty to clothing and accessories.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
745:6,NA,NA,wow-reference,"child rearing is the process of supporting the physical, emotional and intellectual development of the child from infancy onwards. i think he means it intuitive.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
545:1,NA,NA,wow-t5,i play guitar. i love the fretted sound of it.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
804:7,NA,NA,wow-dodeca,the causes of mental disorders are often unclear,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
382:3,NA,NA,wow-t5,alpine skiing has been an event at the winter olympic games since 1936.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
501:1,NA,NA,wow-reference,"hello! i've played a bit of blackjack in las vegas and some indian casinos. i'm not terrible, but sometimes i can make a bad decision or two.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
371:5,NA,NA,wow-dinan_et_al,the first pianos were quieter and quieter.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",3,2
540:9,NA,NA,wow-t5,kale was brought to north america by the colonists in the 16th century,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
858:2,NA,NA,wow-dodeca,"i have not had it with real cheese but it can be made with other ingredients such as breadcrumbs, meat and vegetables.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
811:4,NA,NA,wow-dinan_et_al,he moved to los angeles to pursue his career in high school.,0,0,1,,,-1,-1
53:6,NA,NA,wow-t5,they are currently in their third year,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
907:5,NA,NA,wow-reference,"it was written by emily bronte, if i am not mistaken.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
62:2,NA,NA,wow-t5,it started in classical greece and rome in the early 1600s.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
55:2,NA,NA,wow-t5,"i love the meats, vegetables, and condiments, and even cheese!",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
171:4,NA,NA,wow-dinan_et_al,"i'm not sure, but i do know that there are so many different types of information, such as transactions and transactions.",1,0,0,"Yes, I understand it.","No, not fully attributable.",3,3
961:1,NA,NA,wow-dodeca,"i love catching aquatic animals such as molluscs, cephalopods, crustaceans, and echinoderms.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
371:3,NA,NA,wow-controlled_t5,it has a row of keys that are pressed down with both hands to cause the hammers to strike the strings.,1,1,0,"Yes, I understand it.","Yes, fully attributable.",2,2
518:3,NA,NA,wow-dinan_et_al,"i'm not sure, but i do know that it's a great sport. it's a great sport.",1,0,0,"Yes, I understand it.","No, not fully attributable.",3,3
593:2,NA,NA,wow-t5,i know some people are unable to control either the thoughts or the activities for more than a short period of time.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,4
41:3,NA,NA,wow-dodeca,i like reality shows with confessionals and confessionals.,1,0,0,"Yes, I understand it.","No, not fully attributable.",3,3
384:3,NA,NA,wow-controlled_t5,"since the 1970s, there have been skateparks constructed specifically for use by skateboarders.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
68:2,NA,NA,wow-dodeca,"i haven't, but the term deep sea creature refers to organisms that live below the photic zone of the ocean.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
599:8,NA,NA,wow-reference,jerry garcia was the lead singer and yes that is very impressive.,1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
922:4,NA,NA,wow-controlled_t5,"cooking techniques and ingredients vary widely across the world, from grilling food over an open fire to using electric stoves.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
